#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2020-06-19"
#curie_map:
#  kbase: "http://kbase.us/"
#  mixs: "https://microbiomedata/schema/mixs#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
kbase:collection_time	collection_time	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:collection_time	collection_time	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:collection_time_end	collection_time_end	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:collection_time_end	collection_time_end	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:collector_chief_scientist	collector_chief_scientist	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:collector_chief_scientist	collector_chief_scientist	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:collector_chief_scientist_address	collector_chief_scientist_address	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:collector_chief_scientist_address	collector_chief_scientist_address	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:condition	condition	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:condition	condition	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:conductivity_ms_cm	conductivity_ms_cm	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:conductivity_ms_cm	conductivity_ms_cm	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:continent	continent	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:continent	continent	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:coordinate_precision?	coordinate_precision?	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:coordinate_precision?	coordinate_precision?	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:country	country	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:country	country	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:county	county	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:county	county	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:current_archive	current_archive	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:current_archive	current_archive	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:current_archive_contact	current_archive_contact	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:current_archive_contact	current_archive_contact	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:dapi_cell_count	dapi_cell_count	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:dapi_cell_count	dapi_cell_count	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:dapi_cell_count_cells_g	dapi_cell_count_cells_g	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:dapi_cell_count_cells_g	dapi_cell_count_cells_g	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:depth_in_core_max	depth_in_core_max	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:depth_in_core_max	depth_in_core_max	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:depth_in_core_min	depth_in_core_min	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:depth_in_core_min	depth_in_core_min	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:depth_scale	depth_scale	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:depth_scale	depth_scale	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
